"game_id","move","turn","game_turn_id","ad_id","message","expires_in","probability","reward"
"0RFKSwIp",buy,41,54646,"5M98bQpF",Help defending village in Greycaster from the intruders,7,Piece of cake,"210"
"0RFKSwIp",buy,41,54646,gYsHbSMT,Help defending pasture in Millerspring from the intruders,2,Walk in the park,"216"
"0RFKSwIp",buy,41,54646,EmtxLWyM,Help defending village in Darkpool from the intruders,2,Piece of cake,"197"
"0RFKSwIp",buy,41,54646,"06DR6ga4",Help defending savannah in Darkpool from the intruders,3,Gamble,"161"
"0RFKSwIp",buy,41,54646,P4M0OKTt,Help defending thrift shoppe in Fernwater from the intruders,3,Piece of cake,"230"
"0RFKSwIp",buy,41,54646,VcevEMYj,Help defending village in Frostkeep from the intruders,4,Piece of cake,"247"
"0RFKSwIp",buy,41,54646,zbTVVaYD,Help defending village in Millerton from the intruders,5,Gamble,"239"
"0RFKSwIp",buy,41,54646,"7NceSys5",Help defending savannah in Bloodton from the intruders,6,Risky,"216"
"0RFKSwIp",buy,41,54646,ZIA6hxJV,Help defending thrift shoppe in Dovedrone from the intruders,7,Piece of cake,"179"
"0RFKSwIp",buy,41,54646,"2Uwb3CjZ",Help defending savannah in Lowecawl from the intruders,7,Hmmm....,"196"
"0RFKSwIp",solve,42,54649,"5M98bQpF",Help defending village in Greycaster from the intruders,6,Piece of cake,"210"
"0RFKSwIp",solve,42,54649,gYsHbSMT,Help defending pasture in Millerspring from the intruders,1,Walk in the park,"216"
"0RFKSwIp",solve,42,54649,EmtxLWyM,Help defending village in Darkpool from the intruders,1,Piece of cake,"197"
"0RFKSwIp",solve,42,54649,P4M0OKTt,Help defending thrift shoppe in Fernwater from the intruders,2,Piece of cake,"230"
